Variable,Cluster_1,Cluster_2,loge_fold,abs_loge_fold
Displacement,24.271940682386955,2.740671116903303,-2.18111815514804,2.18111815514804
DistanceTraveled_Max,13.022371973807562,1.88885055805071,-1.9307003257182798,1.9307003257182798
Speed_Max,4.006883684248481,0.5811847870925262,-1.9307003257182798,1.9307003257182798
DistanceTraveled_Std,4.06905086851587,0.6467077359930042,-1.8392705787618429,1.8392705787618429
Speed_Std,1.2520156518510368,0.19898699569015516,-1.8392705787618426,1.8392705787618426
IntegratedDistance,36.15981049028011,6.110114784983346,-1.778002735224067,1.778002735224067
DistanceTraveled_Mean,4.919125325021279,0.8359095683111425,-1.772365578857413,1.772365578857413
Speed_Mean,1.5135770230834704,0.2572029440957362,-1.7723655788574129,1.7723655788574129
MajorAxisLength_Std,3.220867918713612,0.6462851018878503,-1.6061654015772227,1.6061654015772227
Area_Std,32.96335599215241,7.2616477732476925,-1.5127897509123116,1.5127897509123116
ConvexArea_Std,38.719430022127796,8.654723471121985,-1.4982363038674775,1.4982363038674775
EquivalentDiameter_Std,1.619999550322885,0.3835896402798769,-1.44060781457299,1.44060781457299
MaxFeretDiameter_Std,3.0285754761943697,0.7176879512183729,-1.4398127818354765,1.4398127818354765
Perimeter_Std,7.571984228296193,1.9565019284513634,-1.3532970021151722,1.3532970021151722
BoundingBoxArea_Std,60.75216186876122,15.8243900521575,-1.3452502439246925,1.3452502439246925
MeanRadius_Std,0.17713284179649624,0.06713930922170137,-0.9701302668261161,0.9701302668261161
Eccentricity_Std,0.12116254339818362,0.04638743353075198,-0.9601043845275371,0.9601043845275371
MinorAxisLength_Std,1.1070814346014217,0.46444505613514814,-0.8686392281094567,0.8686392281094567
MinFeretDiameter_Std,1.2493489022271247,0.5375940865263902,-0.8432740269903191,0.8432740269903191
FormFactor_Std,0.09857501501547138,0.042492360858636016,-0.8414935168173193,0.8414935168173193
Compactness_Std,0.1495644002320707,0.0686232788903766,-0.7790952512651897,0.7790952512651897
MaximumRadius_Std,0.5027495694084512,0.25336399006080107,-0.6852650214912603,0.6852650214912603
MedianRadius_Std,0.18221612044971025,0.09360359642059611,-0.666124651542065,0.666124651542065
Solidity_Std,0.03311234990766911,0.021303870973135974,-0.4410175297567858,0.4410175297567858
Extent_Std,0.06119379331888866,0.040060856363014714,-0.4236460609982252,0.4236460609982252
Linearity_Mean,0.6593123360569982,0.4518634836467868,-0.3778172699018173,0.3778172699018173
MeanderRatio_Std,3.307660848690687,4.757612512918327,0.3635047221713967,0.3635047221713967
MeanderRatio_Mean,3.60414459050719,5.114330788491048,0.3499620993106748,0.3499620993106748
Linearity_Std,0.2367988504933233,0.2894339545895305,0.20071608619072082,0.20071608619072082
BoundingBoxArea_Mean,188.3938865139357,210.2461229086229,0.10974394618161884,0.10974394618161884
FinalAge,8.5,9.27027027027027,0.08674637102544477,0.08674637102544477
ConvexArea_Mean,136.0486178681999,146.45674066924067,0.0737177931388169,0.0737177931388169
Compactness_Mean,1.163959415462645,1.2293484377464017,0.05465682136045273,0.05465682136045273
MaxFeretDiameter_Mean,14.999405386628801,15.763192586797022,0.049667079793430394,0.049667079793430394
Area_Mean,124.64095114122203,130.84951737451738,0.048610727381332104,0.048610727381332104
Perimeter_Mean,41.901030075113646,43.98282426804155,0.04848878940691357,0.04848878940691357
MajorAxisLength_Mean,15.612236578093185,16.168425013291635,0.03500526426042789,0.03500526426042789
FormFactor_Mean,0.8874965143794414,0.8602815973586592,-0.031144819441763078,0.031144819441763078
Eccentricity_Mean,0.6853718587495858,0.7009978712242685,0.022543299804269886,0.022543299804269886
Extent_Mean,0.6894267394748937,0.6751643628556744,-0.020904278162205577,0.020904278162205577
MinFeretDiameter_Mean,9.719483669469836,9.91244636020112,0.019658678980814092,0.019658678980814092
MaximumRadius_Mean,4.981128457716248,4.916552555992567,-0.013048878404393838,0.013048878404393838
MeanRadius_Mean,2.2003079554343485,2.172006590783825,-0.012945893812962007,0.012945893812962007
Solidity_Mean,0.9206391297244717,0.9102157788832972,-0.011386444014221743,0.011386444014221743
EquivalentDiameter_Mean,12.34504776885307,12.485587928995752,0.011320021172075874,0.011320021172075874
MedianRadius_Mean,1.9576295633096428,1.9786988785658564,0.010705161817549323,0.010705161817549323
MinorAxisLength_Mean,10.295228599247423,10.37620982988238,0.007835124313488845,0.007835124313488845
