Order,Run,Label,Area_Mean,BoundingBoxArea_Mean,Compactness_Mean,ConvexArea_Mean,Eccentricity_Mean,EquivalentDiameter_Mean,Extent_Mean,FormFactor_Mean,MajorAxisLength_Mean,MaxFeretDiameter_Mean,MaximumRadius_Mean,MeanRadius_Mean,MedianRadius_Mean,MinFeretDiameter_Mean,MinorAxisLength_Mean,Perimeter_Mean,Solidity_Mean,Area_Std,BoundingBoxArea_Std,Compactness_Std,ConvexArea_Std,Eccentricity_Std,EquivalentDiameter_Std,Extent_Std,FormFactor_Std,MajorAxisLength_Std,MaxFeretDiameter_Std,MaximumRadius_Std,MeanRadius_Std,MedianRadius_Std,MinFeretDiameter_Std,MinorAxisLength_Std,Perimeter_Std,Solidity_Std,DistanceTraveled_Max,DistanceTraveled_Mean,DistanceTraveled_Std,Speed_Max,Speed_Mean,Speed_Std,Linearity_Mean,Linearity_Std,MeanderRatio_Mean,MeanderRatio_Std,FinalAge,Displacement,IntegratedDistance
1,1,1,133.5,168.2,1.0118251071729871,138.7,0.5691381789331489,13.03633602801086,0.7943223443223443,0.989978658217628,14.46422248275895,14.270893219486409,5.829437032785835,2.460219065035516,2.141640786499874,11.062755348299891,11.867993927164976,41.18477631085023,0.9627080372285487,3.8078865529319543,6.142746399887703,0.04430521962801463,4.083843505544474,0.040265078599589325,0.18685165515363264,0.027630464481652704,0.04228206502880726,0.3399758937895037,0.3966620700249856,0.14009473296899422,0.0658556525777261,0.10846575035548134,0.1984498359848296,0.21032853767539744,0.9463904970758383,0.019229934913247638,0.4787321232483972,0.1575205446097483,0.1437081651767977,0.1473021917687376,0.048467859879922554,0.04421789697747622,0.4224790973734902,0.269519335717249,3.047296289221264,1.3212426504599593,10,0.4066439172115756,1.4176849014877346
2,1,2,203.3,260.5,1.1737285011732734,216.8,0.8150863866612847,16.08836428924619,0.7806349206349206,0.8524441724816906,21.31043222139217,20.183157161326896,6.138747861250137,2.699236282088253,2.29530389222443,11.814293843926983,12.340957162226953,54.754624791833734,0.9379095025406676,3.1640339933558095,5.060742150229659,0.028788721041233305,4.685675570881488,0.008079086913011886,0.1253171140503893,0.017089263249670677,0.02077794424692406,0.24322727418883008,0.3946404850251674,0.13239123836763075,0.03154223192801119,0.1873204098133684,0.3453254035884854,0.16856469978627578,0.8404992584732537,0.01343876275599214,0.3790401264736811,0.16840672139797477,0.12358442764858979,0.11662773122267112,0.051817452737838395,0.03802597773802763,0.42789751529034115,0.27036031714121467,2.9581005348575067,1.1778035301625578,10,0.3728337595186409,1.515660492581773
3,1,3,55.7,77.4,0.9741324034732861,58.9,0.7681670982893581,8.420067310712046,0.7214506172839507,1.0285815101363784,10.546260818288996,9.893208920890446,3.4282418293457453,1.706841467443647,1.4142135623730951,6.13123485758706,6.730380706042544,26.10365799264593,0.9465036572216928,2.057506581601462,4.6475800154489,0.04600082582730321,2.8848262031225076,0.027678071944993617,0.15602394697601027,0.04207586247301989,0.04774155734683261,0.33644258329731097,0.3718082654237793,0.22890551064707323,0.0366791044679228,0,0.3299143341828504,0.22050290859869154,0.8501610291066851,0.027832749856290386,0.31111236114858115,0.17007204485958824,0.07037183694942982,0.09572688035340958,0.052329859956796385,0.021652872907516867,0.5903136499154282,0.18112357145781477,1.810620875528973,0.4430068170974142,10,0.6797487871371012,1.5306484037362942
4,1,4,215.2,388.6,1.453520908981493,236.5,0.9170575374152926,16.551582085205553,0.5542462026198439,0.6890402615257273,26.42342299514257,25.687477486417986,5.203575679650194,2.463588638802786,2.23606797749979,10.018565636535968,10.524410195464814,62.68254685319159,0.9099390759375943,5.940445175985458,16.493769867572556,0.060848641229277356,5.9675045966560525,0.005661366604157379,0.22676591873463972,0.015783989616077767,0.028053386588329933,0.5881170733584593,0.9738242967057731,0.15916499528972824,0.04268752824787784,0,0.23011507969757797,0.20120121044404113,1.7509126344002188,0.0103432692742184,0.5376431441208569,0.23702329096480987,0.1289710556589548,0.16542865972949444,0.07293024337378765,0.03968340174121687,0.29595496755135786,0.3327569482447006,9.469150738797598,12.492726881094615,10,0.3100118244136774,2.1332096186832885
5,1,5,89.7,133.9,1.2599080987627638,98.9,0.863980680499711,10.682955347097987,0.6711458333333333,0.7954647716257952,15.365238883084725,14.930963411420045,3.8816653826391967,1.8625076479073874,1.882842712474619,7.167487059746476,7.7270709370380155,37.639191898578666,0.9065385802279824,5.078276172963507,7.248754682319194,0.06446276051289634,4.1486276177925525,0.012425605749865645,0.30559998301085206,0.04403627360499118,0.0382260437136034,0.2812932477768092,0.42989870491121807,0.1905368358101744,0.07851182747609137,0.24698924871162387,0.2642762762173074,0.31653463315688485,0.5155650197703837,0.01932159256314781,0.87748774263479,0.4483352972226816,0.2599216843102365,0.2699962285030123,0.13794932222236356,0.07997590286468816,0.3229481782080476,0.32223082800944924,8.953744117155232,12.451257124775992,10,0.09783380607935198,4.035017675004134
6,1,6,54.375,81.25,1.0372907157552629,59.125,0.8036536827316116,8.319461555912241,0.6699652777777778,0.96513724182908045,10.869545622222397,10.082837411129043,3.1974021545592834,1.6469953495613607,1.4142135623730951,5.924938351616192,6.451282853112657,26.61180553784104,0.9196180970728701,1.9226098333849673,3.5355339059327378,0.037319764635305244,1.5526475085202969,0.0224107205319161,0.14720118273108349,0.02970439218201574,0.0345547832433284,0.28983637498795295,0.3142151050957935,0.17441973027205343,0.040515497473352896,0,0.26994047111263414,0.20046017903650276,0.4792649694016646,0.019732478027939804,0.3815869480946445,0.2037990422757462,0.12060553295790633,0.11741136864450599,0.06270739762330652,0.03710939475627887,0.42977679719592077,0.39150435040327414,6.0902043761397655,7.746696224437157,8,0.34173218161481594,1.4265932959302234
7,1,7,54,106.66666666666667,1.3733363859763723,69.66666666666667,0.707184834384288,8.290219371755475,0.5122053872053872,0.7418740220194199,11.200207041478574,10.599842434521353,3,1.46686085448808,1.2761423749153968,7.866370722813626,7.670008699227499,30.487313592375198,0.7789678675754625,2.6457513110645907,15.275252316519467,0.23903640569762258,8.082903768654761,0.12022223130414568,0.20198335526371558,0.06641958216630663,0.11833774108572864,0.9604370524043799,0.6819168167603951,0,0.045101186840004734,0.2391463117381003,1.0868405836490094,1.1095960627413886,3.3509347701308267,0.050343340947058855,0.5355844144673035,0.39079691699598584,0.20476044258599768,0.16479520445147802,0.12024520522953411,0.06300321310338391,0.7287651884486165,0.38358394908367716,1.5928236140095813,0.8383791950273826,3,0.3576029214469002,0.7815938339919717
8,3,1,165.2,205.7,1.0533760302837019,170.6,0.7365964653413368,14.503010869188431,0.8035067873303168,0.949776139084598,17.783913873725837,16.660233845994913,5.98309518948453,2.6041912276176946,2.23606797749979,11.092660481608343,12.021189821422245,46.760512242138304,0.9684701909974445,1.0327955589886444,5.375872022286245,0.024303125896832135,2.503331114069145,0.012651532853339635,0.04532007711980866,0.017282851133238873,0.02155372120579946,0.21103583869850853,0.20168235962523742,0.05345770464245005,0.02203425087918239,0,0.2930181709705053,0.12806288463957144,0.608585893093505,0.010092954168620973,0.15824033806694943,0.1045974345056674,0.03387978030893155,0.04868933478983059,0.03218382600174381,0.010424547787363556,0.35310748932524955,0.2643224875827537,4.3372621493621235,3.3808979293110784,10,0.23715686392211724,0.9413769105510066
9,3,2,106.6,171.8,1.8402781635723553,143.6,0.8803893273883753,11.64488597515632,0.621980949197861,0.5457372320621208,18.892343823028224,15.654540632533713,3.6549698058132427,1.7034093297536492,1.4727922061357857,9.025314464721253,8.95067540491719,49.60376259469858,0.7428593187892234,6.834552736727628,14.987402117185695,0.12456096016550633,9.69765149118303,0.011120279201759701,0.3711335404705471,0.026370883305703,0.03851316986998897,0.40103918203394323,0.3878109280893572,0.3960860156210558,0.05700211752702492,0.1852419365337179,0.7036537086885067,0.4562182871047331,2.3698306048627527,0.02474220380438577,0.7760722008630984,0.4024704135544972,0.22880257290280495,0.23879144641941488,0.12383705032446068,0.07040079166240153,0.2727379069374988,0.28573621715225694,6.163058967114869,3.667943192979084,10,0.2844282850664799,3.6222337219904746
10,3,3,109.1,169.1,1.246771945243816,123.9,0.6597313383347739,11.783787061942723,0.6471911075036075,0.8042604641647624,14.158916440804822,14.080475064488716,4.6304951684997055,2.045056132118026,2,10.099261002845983,10.563803089163915,41.33036072312181,0.8812002378488241,4.458450154232722,11.883228143526956,0.06905667215137473,6.15449248742557,0.06326825723758622,0.24220471001369456,0.03974703871663823,0.04393111099950794,0.5240557147435079,0.6148368874131217,0.2549825582289529,0.035649121746103636,0,0.5158368558925565,0.46419353635586474,1.673683166757541,0.024675677694501016,0.8313070370588715,0.42146529891083717,0.2840713473306036,0.2557867806334989,0.12968163043410375,0.08740656840941646,0.33299647890877065,0.36994466932922443,7.344668857123388,6.563419209511265,10,0.3390993961182919,3.7931876901975343
